Wharf #,TSN,X_MGA56,Y_MGA56,Station Name,Circular Quay 2,Circular Quay 3,Circular Quay 4,Circular Quay 5,Manly,Garden Island,Cockatoo Island,Darling Point,Double Bay,Rose Bay,Watsons Bay,Pyrmont Bay,Birchgrove,Balmain,Balmain East,Abbotsford,Chiswick,Drummoyne,Huntleys Point,Barangaroo 1,Barangaroo 2,McMahons Point,North Sydney,Milsons Point,Kirribilli,Greenwich,Mosman Bay,South Mosman,Taronga Zoo,Neutral Bay,Kurraba Point,Cremorne Point,Old Cremorne,Woolwich,Kissing Point,Meadowbank,Rydalmere,Olympic Park,Cabarita,Parramatta
37,20883,337121,6253487,Taronga Zoo,"2,999","3,040","3,077","3,114","6,537","1,581","6,134","2,230","3,009","3,439","3,856","4,500","4,921","5,006","4,198","10,309","9,045","7,628","9,016","4,120","4,148","3,085","1,930","2,694","1,811","5,454","1,097",725, -   ,,,,,,,,,,,
38,20891,335244,6253901,Neutral Bay,"2,147","2,160","2,171","2,182","7,566","2,010","4,279","3,263","4,060","5,077","5,714","3,467","3,086","3,345","2,702","8,436","7,184","5,769","7,133","2,998","3,049","1,394",298,"1,123",787,"3,564","1,279","1,234","1,922", -   ,,,,,,,,,,
39,20892,335479,6253782,Kurraba Point,"2,119","2,138","2,154","2,171","7,462","1,795","4,503","3,032","3,834","4,818","5,480","3,502","3,301","3,513","2,825","8,668","7,412","5,995","7,368","3,043","3,090","1,550",334,"1,229",674,"3,800","1,117",997,"1,668",263, -   ,,,,,,,,,
40,20901,336323,6253303,Cremorne Point,"2,248","2,284","2,318","2,351","7,192","1,141","5,338","2,209","3,026","3,862","4,670","3,747","4,123","4,187","3,382","9,515","8,248","6,832","8,228","3,346","3,378","2,274","1,168","1,879",993,"4,677","1,052",536,819,"1,234",970, -   ,,,,,,,,
41,20902,336277,6254074,Old Cremorne,"2,780","2,808","2,834","2,859","6,673","1,910","5,325","2,951","3,766","4,433","4,686","4,238","4,133","4,362","3,657","9,475","8,227","6,812","8,170","3,798","3,840","2,398","1,178","2,065","1,331","4,602",320,324,"1,028","1,047",849,772, -   ,,,,,,,
44,21101,331233,6254226,Woolwich,"4,127","4,085","4,043","4,003","10,848","5,430",802,"6,626","7,255","8,729","9,731","3,905","1,280","2,011","2,735","4,464","3,259","1,906","3,148","3,638","3,693","3,008","4,010","3,412","4,260",576,"5,210","5,258","5,934","4,024","4,269","5,173","5,046", -   ,,,,,,
46,21122,324365,6254886,Kissing Point,"10,683","10,635","10,587","10,542","17,191","12,199","6,773","13,297","13,807","15,446","16,624","9,838","7,978","8,216","9,140","2,765","3,992","5,326","3,895","9,820","9,849","9,836","10,905","10,246","11,123","7,386","12,089","12,157","12,832","10,924","11,169","12,062","11,939","6,900", -   ,,,,,
47,21141,323223,6256034,Meadowbank,"12,129","12,082","12,035","11,990","18,107","13,595","8,179","14,730","15,272","16,870","17,866","11,358","9,360","9,675","10,593","4,337","5,514","6,782","5,366","11,313","11,346","11,199","12,216","11,608","12,469","8,731","13,326","13,436","14,129","12,209","12,461","13,382","13,200","8,212","1,619", -   ,,,,
48,21151,318947,6256304,Rydalmere,"16,282","16,233","16,186","16,140","22,317","17,797","12,371","18,896","19,399","21,046","22,145","15,396","13,571","13,814","14,738","8,317","9,575","10,926","9,495","15,401","15,428","15,425","16,470","15,835","16,706","12,965","17,604","17,704","18,391","16,473","16,723","17,633","17,473","12,460","5,600","4,285", -   ,,,
49,21271,322227,6255898,Olympic Park,"13,026","12,978","12,930","12,885","19,112","14,517","9,092","15,635","16,158","17,780","18,840","12,202","10,285","10,563","11,484","5,129","6,354","7,668","6,240","12,179","12,209","12,134","13,169","12,544","13,411","9,670","14,299","14,399","15,088","13,169","13,420","14,333","14,168","9,160","2,365","1,005","3,305", -   ,,
50,21371,325726,6253882,Cabarita,8968,8968,8968,"8,968","16,133","10,669","5,278","11,729","12,209","13,881","15,232","8,198","6,494","6,644","7,568","1,123","2,396","3,792","2,386","8,205","8,231","8,356","9,473","8,764","9,651","5,954","10,726","10,749","11,402","9,518","9,754","10,613","10,552","5,518","1,691","3,301","7,199","4,038", -   ,
52,21501,315868,6256697,Parramatta,"19,357","19,308","19,260","19,214","25,348","20,886","15,461","21,973","22,461","24,124","25,248","18,434","16,665","16,888","17,812","11,374","12,641","14,007","12,577","18,456","18,481","18,521","19,572","18,931","19,805","16,064","20,708","20,807","21,494","19,577","19,826","20,735","20,577","15,562","8,688","7,385","3,104","6,409","10,252", -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
