Station #,TSN,"Station Name",Central,Town Hall,Wynyard,Circular Quay,St James,Museum,Martin Place,Kings Cross,Edgecliff,Bondi Junction,Redfern,Macdonaldtown,Newtown,Stanmore,Petersham,Lewisham,Summer Hill,Ashfield,Croydon,Burwood,Strathfield,Homebush,Flemington,Olympic Park,Lidcombe,Berala,Regents Park,Sefton,Chester Hill,Leightonfield,Villawood,Carramar,Cabramatta,Warwick Farm,Liverpool,Casula,Glenfield,Macquarie Fields,Ingleburn,Minto,Leumeah,Campbelltown,Macarthur,Merrylands,Guildford,Yennora,Fairfield,Canley Vale,Erskineville,St Peters,Sydenham,Tempe,Arncliffe,Banksia,Rockdale,Kogarah,Carlton,Allawah,Hurstville,Penshurst,Mortdale,Oatley,Como,Jannali,Sutherland,Loftus,Engadine,Heathcote,Waterfall,Helensburgh,Otford,Kirrawee,Gymea,Miranda,Caringbah,Woolooware,Cronulla,Marrickville,Dulwich Hill,Hurlstone Park,Canterbury,Campsie,Belmore,Lakemba,Wiley Park,Punchbowl,Bankstown,Yagoona,Birrong,Turrella,Bardwell Park,Bexley North,Kingsgrove,Beverly Hills,Narwee,Riverwood,Padstow,Revesby,Panania,East Hills,Holsworthy,Auburn,Clyde,Granville,Harris Park,Parramatta,Westmead,Wentworthville,Pendle Hill,Toongabbie,Seven Hills,Blacktown,Doonside,Rooty Hill,Mount Druitt,St Marys,Werrington,Kingswood,Penrith,Emu Plains,Marayong,Quakers Hill,Schofields,Riverstone,Vineyard,Mulgrave,Windsor,Clarendon,East Richmond,Richmond,North Strathfield,Concord West,Rhodes,Meadowbank,West Ryde,Denistone,Eastwood,Epping,Cheltenham,Beecroft,Pennant Hills,Thornleigh,Normanhurst,Milsons Point,North Sydney,Waverton,Wollstonecraft,St Leonards,Artarmon,Chatswood,Roseville,Lindfield,Killara,Gordon,Pymble,Turramurra,Warrawee,Wahroonga,Waitara,Hornsby,Asquith,Mount Colah,Mount Kuring-gai,Berowra,Cowan,Menangle Park,Menangle,Douglas Park,Picton,Tahmoor,Bargo,Yerrinbool,Mittagong,Bowral,Burradoo,Moss Vale,Thirlmere,Couridjah,Buxton,Balmoral,Hill Top,Colo Vale,Exeter,Bundanoon,Penrose,Wingello,Tallong,Marulan,Goulburn,Stanwell Park,Coalcliff,Scarborough,Wombarra,Coledale,Austinmer,Thirroul,Bulli,Woonona,Bellambi,Corrimal,Towradgi,Fairy Meadow,North Wollongong,Wollongong,Coniston,Unanderra,Kembla Grange,Dapto,Albion Park,Oak Flats,Shellharbour Junction,Minnamurra,Bombo,Kiama,Gerringong,Berry,Bomaderry (Nowra),Lysaghts,Cringila,Port Kembla North,Port Kembla,Robertson,Lapstone,Glenbrook,Blaxland,Warrimoo,Valley Heights,Springwood,Faulconbridge,Linden,Woodford,Hazelbrook,Lawson,Bullaburra,Wentworth Falls,Leura,Katoomba,Medlow Bath,Blackheath,Mount Victoria,Bell,Zig Zag,Lithgow,Warabrook (University),Hawkesbury River,Wondabyne,Woy Woy,Koolewong,Tascott,Point Clare,Gosford,Narara,Niagara Park,Lisarow,Ourimbah,Tuggerah,Wyong,Warnervale,Wyee,Morisset,Dora Creek,Awaba,Fassifern,Booragul,Teralba,Cockle Creek,Cardiff,Kotara,Adamstown,Broadmeadow,Hamilton,Newcastle Interchange,Waratah,Sandgate,Hexham,Tarro,Beresfield,Thornton,Victoria Street,East Maitland,High Street,Maitland,Telarah,Mindaribba,Paterson,Martins Creek,Hilldale,Wallarobba,Wirragulla,Dungog,Lochinvar,Greta,Branxton,Singleton,Muswellbrook,Aberdeen,Scone,Metford,Green Square,Mascot,Domestic,International,Wolli Creek,Tallawong,Rouse Hill,Kellyville,Bella Vista,Norwest,Hills Showground,Castle Hill,Cherrybrook,Rydal,Tarana,Wallerawang,Mount Lambie,Meadow Flat,Yetholme,Raglan,Kelso,Bathurst Station,North Ryde,Macquarie Park,Macquarie University,Edmondson Park,Leppington,,
30,201510,Redfern,1.31,4.52,4.52,4.52,4.52,4.52,4.52,4.52,5.94,7.92, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,201520,Macdonaldtown,2.50,5.71,5.71,5.71,5.71,5.71,5.71,5.71,7.13,9.11,1.19, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,204210,Newtown,3.12,6.33,6.33,6.33,6.33,6.33,6.33,6.33,7.75,9.73,1.81,0.62, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,204810,Stanmore,4.67,7.88,7.88,7.88,7.88,7.88,7.88,7.88,9.30,11.28,3.36,2.17,1.55, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,204910,Petersham,5.49,8.70,8.70,8.70,8.70,8.70,8.70,8.70,10.12,12.10,4.18,2.99,2.37,0.82, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,204920,Lewisham,6.26,9.47,9.47,9.47,9.47,9.47,9.47,9.47,10.89,12.87,4.95,3.76,3.14,1.59,0.77, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,213010,Summer Hill,7.05,10.26,10.26,10.26,10.26,10.26,10.26,10.26,11.68,13.66,5.74,4.55,3.93,2.38,1.56,0.79, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,213110,Ashfield,8.40,11.61,11.61,11.61,11.61,11.61,11.61,11.61,13.03,15.01,7.09,5.90,5.28,3.73,2.91,2.14,1.35, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,213210,Croydon,9.44,12.65,12.65,12.65,12.65,12.65,12.65,12.65,14.07,16.05,8.13,6.94,6.32,4.77,3.95,3.18,2.39,1.04, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,213410,Burwood,10.62,13.83,13.83,13.83,13.83,13.83,13.83,13.83,15.25,17.23,9.31,8.12,7.50,5.95,5.13,4.36,3.57,2.22,1.18, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
