Station #,TSN,"Station Name",Central,Town Hall,Wynyard,Circular Quay,St James,Museum,Martin Place,Kings Cross,Edgecliff,Bondi Junction,Redfern,Macdonaldtown,Newtown,Stanmore,Petersham,Lewisham,Summer Hill,Ashfield,Croydon,Burwood,Strathfield,Homebush,Flemington,Olympic Park,Lidcombe,Berala,Regents Park,Sefton,Chester Hill,Leightonfield,Villawood,Carramar,Cabramatta,Warwick Farm,Liverpool,Casula,Glenfield,Macquarie Fields,Ingleburn,Minto,Leumeah,Campbelltown,Macarthur,Merrylands,Guildford,Yennora,Fairfield,Canley Vale,Erskineville,St Peters,Sydenham,Tempe,Arncliffe,Banksia,Rockdale,Kogarah,Carlton,Allawah,Hurstville,Penshurst,Mortdale,Oatley,Como,Jannali,Sutherland,Loftus,Engadine,Heathcote,Waterfall,Helensburgh,Otford,Kirrawee,Gymea,Miranda,Caringbah,Woolooware,Cronulla,Marrickville,Dulwich Hill,Hurlstone Park,Canterbury,Campsie,Belmore,Lakemba,Wiley Park,Punchbowl,Bankstown,Yagoona,Birrong,Turrella,Bardwell Park,Bexley North,Kingsgrove,Beverly Hills,Narwee,Riverwood,Padstow,Revesby,Panania,East Hills,Holsworthy,Auburn,Clyde,Granville,Harris Park,Parramatta,Westmead,Wentworthville,Pendle Hill,Toongabbie,Seven Hills,Blacktown,Doonside,Rooty Hill,Mount Druitt,St Marys,Werrington,Kingswood,Penrith,Emu Plains,Marayong,Quakers Hill,Schofields,Riverstone,Vineyard,Mulgrave,Windsor,Clarendon,East Richmond,Richmond,North Strathfield,Concord West,Rhodes,Meadowbank,West Ryde,Denistone,Eastwood,Epping,Cheltenham,Beecroft,Pennant Hills,Thornleigh,Normanhurst,Milsons Point,North Sydney,Waverton,Wollstonecraft,St Leonards,Artarmon,Chatswood,Roseville,Lindfield,Killara,Gordon,Pymble,Turramurra,Warrawee,Wahroonga,Waitara,Hornsby,Asquith,Mount Colah,Mount Kuring-gai,Berowra,Cowan,Menangle Park,Menangle,Douglas Park,Picton,Tahmoor,Bargo,Yerrinbool,Mittagong,Bowral,Burradoo,Moss Vale,Thirlmere,Couridjah,Buxton,Balmoral,Hill Top,Colo Vale,Exeter,Bundanoon,Penrose,Wingello,Tallong,Marulan,Goulburn,Stanwell Park,Coalcliff,Scarborough,Wombarra,Coledale,Austinmer,Thirroul,Bulli,Woonona,Bellambi,Corrimal,Towradgi,Fairy Meadow,North Wollongong,Wollongong,Coniston,Unanderra,Kembla Grange,Dapto,Albion Park,Oak Flats,Shellharbour Junction,Minnamurra,Bombo,Kiama,Gerringong,Berry,Bomaderry (Nowra),Lysaghts,Cringila,Port Kembla North,Port Kembla,Robertson,Lapstone,Glenbrook,Blaxland,Warrimoo,Valley Heights,Springwood,Faulconbridge,Linden,Woodford,Hazelbrook,Lawson,Bullaburra,Wentworth Falls,Leura,Katoomba,Medlow Bath,Blackheath,Mount Victoria,Bell,Zig Zag,Lithgow,Warabrook (University),Hawkesbury River,Wondabyne,Woy Woy,Koolewong,Tascott,Point Clare,Gosford,Narara,Niagara Park,Lisarow,Ourimbah,Tuggerah,Wyong,Warnervale,Wyee,Morisset,Dora Creek,Awaba,Fassifern,Booragul,Teralba,Cockle Creek,Cardiff,Kotara,Adamstown,Broadmeadow,Hamilton,Newcastle Interchange,Waratah,Sandgate,Hexham,Tarro,Beresfield,Thornton,Victoria Street,East Maitland,High Street,Maitland,Telarah,Mindaribba,Paterson,Martins Creek,Hilldale,Wallarobba,Wirragulla,Dungog,Lochinvar,Greta,Branxton,Singleton,Muswellbrook,Aberdeen,Scone,Metford,Green Square,Mascot,Domestic,International,Wolli Creek,Tallawong,Rouse Hill,Kellyville,Bella Vista,Norwest,Hills Showground,Castle Hill,Cherrybrook,Rydal,Tarana,Wallerawang,Mount Lambie,Meadow Flat,Yetholme,Raglan,Kelso,Bathurst Station,North Ryde,Macquarie Park,Macquarie University,Edmondson Park,Leppington,,
139,214520,Wentworthville,26.72,29.93,29.93,29.93,29.93,29.93,29.93,29.93,31.35,33.33,25.41,24.22,23.60,22.05,21.23,20.46,19.67,18.32,17.28,16.10,14.99,13.98,12.40,14.80,10.14,11.91,13.44,14.74,15.87,17.22,18.04,18.54,15.99,18.08,19.63,22.81,25.86,27.81,29.64,33.69,36.56,38.64,38.64,7.46,9.67,11.40,12.93,14.96,27.00,27.92,29.43,30.94,32.53,33.70,34.52,35.71,36.83,37.78,38.91,40.21,41.14,42.37,44.46,46.81,48.82,50.37,54.82,57.23,62.84,70.49,76.75,50.72,52.02,53.59,55.60,57.69,58.90,30.44,29.15,28.23,26.86,25.33,23.76,22.54,21.67,20.56,18.31,16.46,14.91,32.73,34.20,35.47,36.73,38.75,39.89,41.48,39.65,38.02,36.43,34.96,32.14,8.07,6.08,5.34,4.18,3.52,1.61, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,214530,Pendle Hill,28.26,31.47,31.47,31.47,31.47,31.47,31.47,31.47,32.89,34.87,26.95,25.76,25.14,23.59,22.77,22.00,21.21,19.86,18.82,17.64,16.53,15.52,13.94,16.34,11.68,13.45,14.98,16.28,17.41,18.76,19.58,20.08,17.53,19.62,21.17,24.35,27.40,29.35,31.18,35.23,38.10,40.18,40.18,9.00,11.21,12.94,14.47,16.50,28.54,29.46,30.97,32.48,34.07,35.24,36.06,37.25,38.37,39.32,40.45,41.75,42.68,43.91,46.00,48.35,50.36,51.91,56.36,58.77,64.38,72.03,78.29,52.26,53.56,55.13,57.14,59.23,60.44,31.98,30.69,29.77,28.40,26.87,25.30,24.08,23.21,22.10,19.85,18.00,16.45,34.27,35.74,37.01,38.27,40.29,41.43,43.02,41.19,39.56,37.97,36.50,33.68,9.61,7.62,6.88,5.72,5.06,3.15,1.54, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,214610,Toongabbie,29.93,33.14,33.14,33.14,33.14,33.14,33.14,33.14,34.56,36.54,28.62,27.43,26.81,25.26,24.44,23.67,22.88,21.53,20.49,19.31,18.20,17.19,15.61,18.01,13.35,15.12,16.65,17.95,19.08,20.43,21.25,21.75,19.20,21.29,22.84,26.02,29.07,31.02,32.85,36.90,39.77,41.85,41.85,10.67,12.88,14.61,16.14,18.17,30.21,31.13,32.64,34.15,35.74,36.91,37.73,38.92,40.04,40.99,42.12,43.42,44.35,45.58,47.67,50.02,52.03,53.58,58.03,60.44,66.05,73.70,79.96,53.93,55.23,56.80,58.81,60.90,62.11,33.65,32.36,31.44,30.07,28.54,26.97,25.75,24.88,23.77,21.52,19.67,18.12,35.94,37.41,38.68,39.94,41.96,43.10,44.69,42.86,41.23,39.64,38.17,35.35,11.28,9.29,8.55,7.39,6.73,4.82,3.21,1.67, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,214710,Seven Hills,32.09,35.30,35.30,35.30,35.30,35.30,35.30,35.30,36.72,38.70,30.78,29.59,28.97,27.42,26.60,25.83,25.04,23.69,22.65,21.47,20.36,19.35,17.77,20.17,15.51,17.28,18.81,20.11,21.24,22.59,23.41,23.91,21.36,23.45,25.00,28.18,31.23,33.18,35.01,39.06,41.93,44.01,44.01,12.83,15.04,16.77,18.30,20.33,32.37,33.29,34.80,36.31,37.90,39.07,39.89,41.08,42.20,43.15,44.28,45.58,46.51,47.74,49.83,52.18,54.19,55.74,60.19,62.60,68.21,75.86,82.12,56.09,57.39,58.96,60.97,63.06,64.27,35.81,34.52,33.60,32.23,30.70,29.13,27.91,27.04,25.93,23.68,21.83,20.28,38.10,39.57,40.84,42.10,44.12,45.26,46.85,45.02,43.39,41.80,40.33,37.51,13.44,11.45,10.71,9.55,8.89,6.98,5.37,3.83,2.16, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,214810,Blacktown,34.80,38.01,38.01,38.01,38.01,38.01,38.01,38.01,39.43,41.41,33.49,32.30,31.68,30.13,29.31,28.54,27.75,26.40,25.36,24.18,23.07,22.06,20.48,22.88,18.22,19.99,21.52,22.82,23.95,25.30,26.12,26.62,24.07,26.16,27.71,30.89,33.94,35.89,37.72,41.77,44.64,46.72,46.72,15.54,17.75,19.48,21.01,23.04,35.08,36.00,37.51,39.02,40.61,41.78,42.60,43.79,44.91,45.86,46.99,48.29,49.22,50.45,52.54,54.89,56.90,58.45,62.90,65.31,70.92,78.57,84.83,58.80,60.10,61.67,63.68,65.77,66.98,38.52,37.23,36.31,34.94,33.41,31.84,30.62,29.75,28.64,26.39,24.54,22.99,40.81,42.28,43.55,44.81,46.83,47.97,49.56,47.73,46.10,44.51,43.04,40.22,16.15,14.16,13.42,12.26,11.60,9.69,8.08,6.54,4.87,2.71, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,276710,Doonside,38.55,41.76,41.76,41.76,41.76,41.76,41.76,41.76,43.18,45.16,37.24,36.05,35.43,33.88,33.06,32.29,31.50,30.15,29.11,27.93,26.82,25.81,24.23,26.63,21.97,23.74,25.27,26.57,27.70,29.05,29.87,30.37,27.82,29.91,31.46,34.64,37.69,39.64,41.47,45.52,48.39,50.47,50.47,19.29,21.50,23.23,24.76,26.79,38.83,39.75,41.26,42.77,44.36,45.53,46.35,47.54,48.66,49.61,50.74,52.04,52.97,54.20,56.29,58.64,60.65,62.20,66.65,69.06,74.67,82.32,88.58,62.55,63.85,65.42,67.43,69.52,70.73,42.27,40.98,40.06,38.69,37.16,35.59,34.37,33.50,32.39,30.14,28.29,26.74,44.56,46.03,47.30,48.56,50.58,51.72,53.31,51.48,49.85,48.26,46.79,43.97,19.90,17.91,17.17,16.01,15.35,13.44,11.83,10.29,8.62,6.46,3.75, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,276610,Rooty Hill,40.94,44.15,44.15,44.15,44.15,44.15,44.15,44.15,45.57,47.55,39.63,38.44,37.82,36.27,35.45,34.68,33.89,32.54,31.50,30.32,29.21,28.20,26.62,29.02,24.36,26.13,27.66,28.96,30.09,31.44,32.26,32.76,30.21,32.30,33.85,37.03,40.08,42.03,43.86,47.91,50.78,52.86,52.86,21.68,23.89,25.62,27.15,29.18,41.22,42.14,43.65,45.16,46.75,47.92,48.74,49.93,51.05,52.00,53.13,54.43,55.36,56.59,58.68,61.03,63.04,64.59,69.04,71.45,77.06,84.71,90.97,64.94,66.24,67.81,69.82,71.91,73.12,44.66,43.37,42.45,41.08,39.55,37.98,36.76,35.89,34.78,32.53,30.68,29.13,46.95,48.42,49.69,50.95,52.97,54.11,55.70,53.87,52.24,50.65,49.18,46.36,22.29,20.30,19.56,18.40,17.74,15.83,14.22,12.68,11.01,8.85,6.14,2.39, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,277010,Mount Druitt,43.90,47.11,47.11,47.11,47.11,47.11,47.11,47.11,48.53,50.51,42.59,41.40,40.78,39.23,38.41,37.64,36.85,35.50,34.46,33.28,32.17,31.16,29.58,31.98,27.32,29.09,30.62,31.92,33.05,34.40,35.22,35.72,33.17,35.26,36.81,39.99,43.04,44.99,46.82,50.87,53.74,55.82,55.82,24.64,26.85,28.58,30.11,32.14,44.18,45.10,46.61,48.12,49.71,50.88,51.70,52.89,54.01,54.96,56.09,57.39,58.32,59.55,61.64,63.99,66.00,67.55,72.00,74.41,80.02,87.67,93.93,67.90,69.20,70.77,72.78,74.87,76.08,47.62,46.33,45.41,44.04,42.51,40.94,39.72,38.85,37.74,35.49,33.64,32.09,49.91,51.38,52.65,53.91,55.93,57.07,58.66,56.83,55.20,53.61,52.14,49.32,25.25,23.26,22.52,21.36,20.70,18.79,17.18,15.64,13.97,11.81,9.10,5.35,2.96, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,276010,St Marys,47.48,50.69,50.69,50.69,50.69,50.69,50.69,50.69,52.11,54.09,46.17,44.98,44.36,42.81,41.99,41.22,40.43,39.08,38.04,36.86,35.75,34.74,33.16,35.56,30.90,32.67,34.20,35.50,36.63,37.98,38.80,39.30,36.75,38.84,40.39,43.57,46.62,48.57,50.40,54.45,57.32,59.40,59.40,28.22,30.43,32.16,33.69,35.72,47.76,48.68,50.19,51.70,53.29,54.46,55.28,56.47,57.59,58.54,59.67,60.97,61.90,63.13,65.22,67.57,69.58,71.13,75.58,77.99,83.60,91.25,97.51,71.48,72.78,74.35,76.36,78.45,79.66,51.20,49.91,48.99,47.62,46.09,44.52,43.30,42.43,41.32,39.07,37.22,35.67,53.49,54.96,56.23,57.49,59.51,60.65,62.24,60.41,58.78,57.19,55.72,52.90,28.83,26.84,26.10,24.94,24.28,22.37,20.76,19.22,17.55,15.39,12.68,8.93,6.54,3.58, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,274710,Werrington,49.15,52.36,52.36,52.36,52.36,52.36,52.36,52.36,53.78,55.76,47.84,46.65,46.03,44.48,43.66,42.89,42.10,40.75,39.71,38.53,37.42,36.41,34.83,37.23,32.57,34.34,35.87,37.17,38.30,39.65,40.47,40.97,38.42,40.51,42.06,45.24,48.29,50.24,52.07,56.12,58.99,61.07,61.07,29.89,32.10,33.83,35.36,37.39,49.43,50.35,51.86,53.37,54.96,56.13,56.95,58.14,59.26,60.21,61.34,62.64,63.57,64.80,66.89,69.24,71.25,72.80,77.25,79.66,85.27,92.92,99.18,73.15,74.45,76.02,78.03,80.12,81.33,52.87,51.58,50.66,49.29,47.76,46.19,44.97,44.10,42.99,40.74,38.89,37.34,55.16,56.63,57.90,59.16,61.18,62.32,63.91,62.08,60.45,58.86,57.39,54.57,30.50,28.51,27.77,26.61,25.95,24.04,22.43,20.89,19.22,17.06,14.35,10.60,8.21,5.25,1.67, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,274720,Kingswood,52.67,55.88,55.88,55.88,55.88,55.88,55.88,55.88,57.30,59.28,51.36,50.17,49.55,48.00,47.18,46.41,45.62,44.27,43.23,42.05,40.94,39.93,38.35,40.75,36.09,37.86,39.39,40.69,41.82,43.17,43.99,44.49,41.94,44.03,45.58,48.76,51.81,53.76,55.59,59.64,62.51,64.59,64.59,33.41,35.62,37.35,38.88,40.91,52.95,53.87,55.38,56.89,58.48,59.65,60.47,61.66,62.78,63.73,64.86,66.16,67.09,68.32,70.41,72.76,74.77,76.32,80.77,83.18,88.79,96.44,102.70,76.67,77.97,79.54,81.55,83.64,84.85,56.39,55.10,54.18,52.81,51.28,49.71,48.49,47.62,46.51,44.26,42.41,40.86,58.68,60.15,61.42,62.68,64.70,65.84,67.43,65.60,63.97,62.38,60.91,58.09,34.02,32.03,31.29,30.13,29.47,27.56,25.95,24.41,22.74,20.58,17.87,14.12,11.73,8.77,5.19,3.52, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,275010,Penrith,55.10,58.31,58.31,58.31,58.31,58.31,58.31,58.31,59.73,61.71,53.79,52.60,51.98,50.43,49.61,48.84,48.05,46.70,45.66,44.48,43.37,42.36,40.78,43.18,38.52,40.29,41.82,43.12,44.25,45.60,46.42,46.92,44.37,46.46,48.01,51.19,54.24,56.19,58.02,62.07,64.94,67.02,67.02,35.84,38.05,39.78,41.31,43.34,55.38,56.30,57.81,59.32,60.91,62.08,62.90,64.09,65.21,66.16,67.29,68.59,69.52,70.75,72.84,75.19,77.20,78.75,83.20,85.61,91.22,98.87,105.13,79.10,80.40,81.97,83.98,86.07,87.28,58.82,57.53,56.61,55.24,53.71,52.14,50.92,50.05,48.94,46.69,44.84,43.29,61.11,62.58,63.85,65.11,67.13,68.27,69.86,68.03,66.40,64.81,63.34,60.52,36.45,34.46,33.72,32.56,31.90,29.99,28.38,26.84,25.17,23.01,20.30,16.55,14.16,11.20,7.62,5.95,2.43, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,275020,Emu Plains,57.47,60.68,60.68,60.68,60.68,60.68,60.68,60.68,62.10,64.08,56.16,54.97,54.35,52.80,51.98,51.21,50.42,49.07,48.03,46.85,45.74,44.73,43.15,45.55,40.89,42.66,44.19,45.49,46.62,47.97,48.79,49.29,46.74,48.83,50.38,53.56,56.61,58.56,60.39,64.44,67.31,69.39,69.39,38.21,40.42,42.15,43.68,45.71,57.75,58.67,60.18,61.69,63.28,64.45,65.27,66.46,67.58,68.53,69.66,70.96,71.89,73.12,75.21,77.56,79.57,81.12,85.57,87.98,93.59,101.24,107.50,81.47,82.77,84.34,86.35,88.44,89.65,61.19,59.90,58.98,57.61,56.08,54.51,53.29,52.42,51.31,49.06,47.21,45.66,63.48,64.95,66.22,67.48,69.50,70.64,72.23,70.40,68.77,67.18,65.71,62.89,38.82,36.83,36.09,34.93,34.27,32.36,30.75,29.21,27.54,25.38,22.67,18.92,16.53,13.57,9.99,8.32,4.80,2.37, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,214820,Marayong,37.38,40.59,40.59,40.59,40.59,40.59,40.59,40.59,42.01,43.99,36.07,34.88,34.26,32.71,31.89,31.12,30.33,28.98,27.94,26.76,25.65,24.64,23.06,25.46,20.80,22.57,24.10,25.40,26.53,27.88,28.70,29.20,26.65,28.74,30.29,33.47,36.52,38.47,40.30,44.35,47.22,49.30,49.30,18.12,20.33,22.06,23.59,25.62,37.66,38.58,40.09,41.60,43.19,44.36,45.18,46.37,47.49,48.44,49.57,50.87,51.80,53.03,55.12,57.47,59.48,61.03,65.48,67.89,73.50,81.15,87.41,61.38,62.68,64.25,66.26,68.35,69.56,41.10,39.81,38.89,37.52,35.99,34.42,33.20,32.33,31.22,28.97,27.12,25.57,43.39,44.86,46.13,47.39,49.41,50.55,52.14,50.31,48.68,47.09,45.62,42.80,18.73,16.74,16.00,14.84,14.18,12.27,10.66,9.12,7.45,5.29,2.58,6.33,8.72,11.68,15.26,16.93,20.45,22.88,25.25, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,276310,Quakers Hill,40.09,43.30,43.30,43.30,43.30,43.30,43.30,43.30,44.72,46.70,38.78,37.59,36.97,35.42,34.60,33.83,33.04,31.69,30.65,29.47,28.36,27.35,25.77,28.17,23.51,25.28,26.81,28.11,29.24,30.59,31.41,31.91,29.36,31.45,33.00,36.18,39.23,41.18,43.01,47.06,49.93,52.01,52.01,20.83,23.04,24.77,26.30,28.33,40.37,41.29,42.80,44.31,45.90,47.07,47.89,49.08,50.20,51.15,52.28,53.58,54.51,55.74,57.83,60.18,62.19,63.74,68.19,70.60,76.21,83.86,90.12,64.09,65.39,66.96,68.97,71.06,72.27,43.81,42.52,41.60,40.23,38.70,37.13,35.91,35.04,33.93,31.68,29.83,28.28,46.10,47.57,48.84,50.10,52.12,53.26,54.85,53.02,51.39,49.80,48.33,45.51,21.44,19.45,18.71,17.55,16.89,14.98,13.37,11.83,10.16,8.00,5.29,9.04,11.43,14.39,17.97,19.64,23.16,25.59,27.96,2.71, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,276220,Schofields,43.40,46.61,46.61,46.61,46.61,46.61,46.61,46.61,48.03,50.01,42.09,40.90,40.28,38.73,37.91,37.14,36.35,35.00,33.96,32.78,31.67,30.66,29.08,31.48,26.82,28.59,30.12,31.42,32.55,33.90,34.72,35.22,32.67,34.76,36.31,39.49,42.54,44.49,46.32,50.37,53.24,55.32,55.32,24.14,26.35,28.08,29.61,31.64,43.68,44.60,46.11,47.62,49.21,50.38,51.20,52.39,53.51,54.46,55.59,56.89,57.82,59.05,61.14,63.49,65.50,67.05,71.50,73.91,79.52,87.17,93.43,67.40,68.70,70.27,72.28,74.37,75.58,47.12,45.83,44.91,43.54,42.01,40.44,39.22,38.35,37.24,34.99,33.14,31.59,49.41,50.88,52.15,53.41,55.43,56.57,58.16,56.33,54.70,53.11,51.64,48.82,24.75,22.76,22.02,20.86,20.20,18.29,16.68,15.14,13.47,11.31,8.60,12.35,14.74,17.70,21.28,22.95,26.47,28.90,31.27,6.02,3.31, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,276510,Riverstone,45.95,49.16,49.16,49.16,49.16,49.16,49.16,49.16,50.58,52.56,44.64,43.45,42.83,41.28,40.46,39.69,38.90,37.55,36.51,35.33,34.22,33.21,31.63,34.03,29.37,31.14,32.67,33.97,35.10,36.45,37.27,37.77,35.22,37.31,38.86,42.04,45.09,47.04,48.87,52.92,55.79,57.87,57.87,26.69,28.90,30.63,32.16,34.19,46.23,47.15,48.66,50.17,51.76,52.93,53.75,54.94,56.06,57.01,58.14,59.44,60.37,61.60,63.69,66.04,68.05,69.60,74.05,76.46,82.07,89.72,95.98,69.95,71.25,72.82,74.83,76.92,78.13,49.67,48.38,47.46,46.09,44.56,42.99,41.77,40.90,39.79,37.54,35.69,34.14,51.96,53.43,54.70,55.96,57.98,59.12,60.71,58.88,57.25,55.66,54.19,51.37,27.30,25.31,24.57,23.41,22.75,20.84,19.23,17.69,16.02,13.86,11.15,14.90,17.29,20.25,23.83,25.50,29.02,31.45,33.82,8.57,5.86,2.55, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
